INDEX_1,INDEX_2,TEAM,ROLE,E,A,D,DMG,H,MIT
48,4,1,SUPPORT,10,13,10,3043,9575,747
48,5,1,SUPPORT,19,7,9,9288,8713,0
48,6,2,DAMAGE,24,1,4,12866,0,0
48,7,2,DAMAGE,25,0,11,10331,0,1324
48,8,2,TANK,19,4,5,8855,0,15940
48,9,2,SUPPORT,5,11,8,2740,9802,500
48,10,2,SUPPORT,4,20,1,1126,19447,1072
49,1,1,TANK,27,6,6,15825,0,24966
49,2,1,DAMAGE,22,3,11,10134,483,2084
49,3,1,DAMAGE,27,0,11,14168,907,1439
49,4,1,SUPPORT,24,21,8,8770,20322,0
49,5,1,SUPPORT,12,27,11,5294,11536,0
49,6,2,DAMAGE,22,0,12,11206,174,766
49,7,2,SUPPORT,13,34,5,3853,20035,0
49,8,2,TANK,31,6,9,15874,0,23622
49,9,2,SUPPORT,18,19,5,4713,15915,1523
49,10,2,DAMAGE,31,7,12,15251,75,1143
50,1,1,TANK,9,2,8,7480,0,15269
50,2,1,DAMAGE,8,1,9,8072,88,327
50,3,1,DAMAGE,13,1,9,8169,140,134
50,4,1,SUPPORT,6,9,7,3581,6372,0
50,5,1,SUPPORT,8,8,9,2201,8732,620
50,6,2,DAMAGE,15,6,7,4252,96,537
50,7,2,TANK,37,5,4,13073,0,8404
50,8,2,SUPPORT,10,31,1,1927,9509,701
50,9,2,DAMAGE,23,3,7,7475,107,826
50,10,2,SUPPORT,10,35,2,1978,12573,0
51,1,1,TANK,26,8,17,14797,0,22398
51,2,1,DAMAGE,19,6,10,9965,40,3132
51,3,1,DAMAGE,26,0,18,12652,0,3077
51,4,1,SUPPORT,27,28,11,6873,18248,0
51,5,1,SUPPORT,12,28,17,3422,15771,1897
51,6,2,DAMAGE,30,3,14,14148,878,98
51,7,2,DAMAGE,40,4,10,15150,619,290
51,8,2,SUPPORT,23,32,10,5750,16765,875
51,9,2,TANK,41,3,6,19108,0,20700
51,10,2,SUPPORT,25,28,9,6771,11626,347
52,1,1,TANK,11,1,5,9273,0,10892
52,2,1,DAMAGE,12,0,7,5668,0,859
52,3,1,DAMAGE,6,3,6,3313,916,0
52,4,1,SUPPORT,3,7,2,1455,8669,203
52,5,1,SUPPORT,0,10,3,18,8710,495
52,6,2,TANK,15,2,4,9656,0,4834
52,7,2,DAMAGE,15,0,3,4710,559,0
52,8,2,SUPPORT,9,14,4,2371,7233,0
52,9,2,DAMAGE,12,1,3,8401,0,0
52,10,2,SUPPORT,9,15,4,1906,5748,615
53,1,1,TANK,13,3,10,6045,0,9182
53,2,1,DAMAGE,17,4,11,5853,62,0
53,3,1,DAMAGE,19,0,9,7895,0,2406
53,4,1,SUPPORT,5,14,6,4281,6186,1159
53,5,1,SUPPORT,4,13,0,1543,11183,1276
53,6,2,DAMAGE,20,4,6,7516,0,0
53,7,2,DAMAGE,18,2,7,5990,0,374
53,8,2,SUPPORT,15,24,5,3381,7845,0
53,9,2,SUPPORT,15,18,4,4563,7775,287
53,10,2,TANK,24,14,5,9133,0,6677
54,1,1,TANK,13,2,6,8434,928,6359
